,College Name,GPA,Verbal,Quants,Writing
444,Columbia University,3.75,157.0,167.0,4.5
445,Villanova University,3.1,150.0,154.0,4.5
446,"University Of Washington, Seattle (UW)",4.0,159.0,148.0,4.5
447,Louisiana State University,3.9,153.0,147.0,3.5
448,"University Of Texas, Austin (UT Austin)",3.2,159.0,152.0,5.0
449,"California State University, Northridge",3.72,156.0,152.0,4.5
450,San Jose State University (SJSU),3.52,146.0,150.0,3.5
451,University Of Southern California (USC),3.64,145.0,157.0,3.5
452,"Washington University, St. Louis (WUSTL)",3.6,160.0,155.0,4.0
453,"University Of Texas, Dallas (UT Dallas)",3.94,151.0,161.0,4.0
454,Carnegie Mellon University (CMU),3.92,170.0,153.0,3.0
455,Case Western Reserve University (CWRU),3.22,160.0,167.0,4.0
456,"University Of Illinois, Urbana-Champaign (UIUC)",3.7,164.0,167.0,4.0
457,Northern Illinois University,4.0,146.0,154.0,3.5
458,North Caroline State University (NCSU),3.8,153.0,163.0,4.0
459,Purdue University,3.71,163.0,149.0,6.0
460,University Of Tulsa,3.6,149.0,158.0,3.0
461,Arizona State University (ASU),3.76,155.0,160.0,4.0
462,"University Of Washington, Seattle (UW)",3.86,164.0,162.0,5.0
463,Arizona State University (ASU),3.2,150.0,162.0,3.0
464,Nothwestern University,3.7,164.0,167.0,4.0
465,Nothwestern University,3.86,167.0,152.0,3.0
466,Arizona State University (ASU),3.0,158.0,163.0,3.0
467,"University Of Colorado, Boulder",3.67,165.0,160.0,3.5
468,North Caroline State University (NCSU),4.0,156.0,167.0,4.0
469,"University Of California, Irvine (UCI)",3.23,158.0,158.0,4.5
470,Columbia University,3.55,155.0,153.0,4.0
